Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2017-06-15,9578.05,9617.90,-0.42,24.19,3.60,1.19
2017-06-14,9618.15,9621.55,0.12,24.29,3.62,1.19
2017-06-13,9606.90,9615.55,-0.10,24.27,3.62,1.19
2017-06-12,9616.40,9646.70,-0.54,24.25,3.62,1.19
2017-06-09,9668.25,9638.55,0.22,24.38,3.64,1.18
2017-06-08,9647.25,9682.40,-0.17,24.43,3.63,1.18
2017-06-07,9663.90,9663.95,0.28,24.48,3.64,1.18
2017-06-06,9637.15,9704.25,-0.39,24.35,3.63,1.19
2017-06-05,9675.10,9656.30,0.22,24.45,3.64,1.18
2017-06-02,9653.50,9657.15,0.39,24.43,3.63,1.18
2017-06-01,9616.10,9603.55,-0.05,24.34,3.62,1.19
2017-05-31,9621.25,9636.55,-0.03,24.35,3.62,1.19
2017-05-30,9624.55,9590.65,0.20,24.36,3.63,1.19
2017-05-29,9604.90,9560.05,0.10,24.31,3.62,1.19
2017-05-26,9595.10,9507.75,0.90,24.32,3.62,1.19
2017-05-25,9509.75,9384.05,1.59,24.88,3.63,1.21
2017-05-24,9360.55,9410.90,-0.27,24.73,3.58,1.23
2017-05-23,9386.15,9445.05,-0.55,24.80,3.59,1.22
2017-05-22,9438.25,9480.25,0.11,24.94,3.61,1.22
2017-05-19,9427.90,9469.90,-0.02,24.91,3.60,1.22
2017-05-18,9429.45,9453.20,-1.01,24.91,3.60,1.22
2017-05-17,9525.75,9517.60,0.14,25.23,3.64,1.2
2017-05-16,9512.25,9461.00,0.71,24.16,3.63,1.21
2017-05-15,9445.40,9433.55,0.47,23.99,3.61,1.22
2017-05-12,9400.90,9436.65,-0.23,23.88,3.59,1.22
2017-05-11,9422.40,9448.60,0.16,23.93,3.60,1.22
2017-05-10,9407.30,9339.65,0.97,23.89,3.59,1.22
2017-05-09,9316.85,9337.35,0.03,23.67,3.56,1.23
2017-05-08,9314.05,9311.45,0.31,23.66,3.56,1.23
2017-05-05,9285.30,9374.55,-0.80,23.59,3.55,1.24
2017-05-04,9359.90,9360.95,0.51,23.77,3.58,1.23
2017-05-03,9311.95,9344.70,-0.02,23.65,3.56,1.23
2017-05-02,9313.80,9339.85,0.10,23.66,3.56,1.23
2017-04-28,9304.05,9340.95,-0.41,23.63,3.55,1.23
2017-04-27,9342.15,9359.15,-0.10,23.73,3.57,1.23
